trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.9, 'e': 0.5799999999999996}",25,0,-62.43709928109727,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
141,False,"{'a': 0.9, 'e': 0.5769999999999996}",30,0,-18.735737641785857,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.9, 'e': 0.5739999999999996}",20,0,-5.177657506139497,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.9, 'e': 0.5709999999999996}",20,7,-17.120753105413552,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.5679999999999996}",20,0,-19.87224303392006,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.9, 'e': 0.5649999999999996}",30,7,-92.06341788900924,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
146,False,"{'a': 0.9, 'e': 0.5619999999999996}",20,15,-35.4957414419516,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.9, 'e': 0.5589999999999996}",25,0,-18.170174093964416,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
148,False,"{'a': 0.9, 'e': 0.5559999999999996}",30,0,-179.89941583010747,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
149,False,"{'a': 0.9, 'e': 0.5529999999999996}",30,0,-105.4716948779001,"{0: 19, 1: 0, 2: 9, 3: 2, 4: 0}",0
150,False,"{'a': 0.9, 'e': 0.5499999999999996}",20,3,-37.21250025532281,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.9, 'e': 0.5469999999999996}",20,3,-71.08982248878726,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
152,False,"{'a': 0.9, 'e': 0.5439999999999996}",25,0,3.431778233861565,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.9, 'e': 0.5409999999999996}",20,0,-21.564541565254437,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
154,False,"{'a': 0.9, 'e': 0.5379999999999996}",20,0,-50.8148146403416,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.9, 'e': 0.5349999999999996}",30,19,21.86280384920541,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.5319999999999996}",25,0,-60.08208760137055,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
157,False,"{'a': 0.9, 'e': 0.5289999999999996}",20,14,-0.6412018715983656,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.5259999999999996}",25,0,-142.96350887067004,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
159,False,"{'a': 0.9, 'e': 0.5229999999999996}",35,0,-46.087727987130314,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
160,False,"{'a': 0.9, 'e': 0.5199999999999996}",20,13,-5.956232373709428,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.5169999999999996}",30,0,-9.63879720667722,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
162,False,"{'a': 0.9, 'e': 0.5139999999999996}",20,6,8.011542103929502,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.5109999999999996}",20,6,2.9628614590715743,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.5079999999999996}",25,0,-33.22305843441888,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
165,False,"{'a': 0.9, 'e': 0.5049999999999996}",25,0,-18.08926880230481,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.9, 'e': 0.5019999999999996}",25,8,-48.77899025085087,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
167,False,"{'a': 0.9, 'e': 0.49899999999999956}",25,0,-20.03698588162502,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
168,False,"{'a': 0.9, 'e': 0.49599999999999955}",25,0,-6.278299732504822,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.9, 'e': 0.49299999999999955}",25,0,-51.72392292908783,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.9, 'e': 0.48999999999999955}",30,14,-76.32752380565881,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
171,False,"{'a': 0.9, 'e': 0.48699999999999954}",20,0,-31.968911582965205,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
